REPORT_ID,Total Cas,Total Fats,Total SI,Total MI,CSEF Severity,Licence Type,Number Occupants,Drugs Involved,Area Speed,Crash Type,Position Type,DayNight,DUI Involved,Weather Cond
2017-108-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Side Swipe,Divided Road,Daylight,,Not Raining
2017-109-8/11/2018,0,0,0,0,1: PDO,Full,4,,60,Rear End,Cross Road,Daylight,,Not Raining
2017-110-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Rear End,T-Junction,Daylight,,Not Raining
2017-111-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,50,Side Swipe,Cross Road,Daylight,,Not Raining
2017-112-8/11/2018,0,0,0,0,1: PDO,Unknown,2,,50,Other,Not Divided,Daylight,,Not Raining
2017-113-8/11/2018,4,0,0,4,2: MI,Unknown,1,,90,Right Angle,T-Junction,Daylight,,Not Raining
2017-114-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Right Angle,T-Junction,Daylight,,Not Raining
2017-115-8/11/2018,0,0,0,0,1: PDO,Full,1,,100,Rear End,T-Junction,Daylight,,Not Raining
2017-116-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Hit Parked Vehicle,Not Divided,Daylight,,Not Raining
2017-117-8/11/2018,3,0,2,1,3: SI,,,,60,Rear End,Divided Road,Daylight,,Not Raining
2017-118-8/11/2018,0,0,0,0,1: PDO,Full,1,,110,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-119-8/11/2018,0,0,0,0,1: PDO,,1,,60,Rear End,T-Junction,Daylight,,Not Raining
2017-120-8/11/2018,0,0,0,0,1: PDO,Unknown,2,,60,Right Turn,T-Junction,Daylight,,Not Raining
2017-121-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Right Angle,Divided Road,Daylight,,Not Raining
2017-122-8/11/2018,0,0,0,0,1: PDO,Unlicenced,1,,60,Side Swipe,Divided Road,Daylight,,Not Raining
2017-123-8/11/2018,1,0,1,0,3: SI,Full,1,,60,Side Swipe,Divided Road,Daylight,,Not Raining
2017-124-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Hit Fixed Object,T-Junction,Night,,Not Raining
2017-125-8/11/2018,0,0,0,0,1: PDO,Full,2,,60,Side Swipe,Divided Road,Daylight,,Not Raining
2017-126-8/11/2018,1,0,0,1,2: MI,Full,1,,40,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-127-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Hit Fixed Object,Divided Road,Daylight,,Not Raining
2017-128-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Right Angle,T-Junction,Daylight,,Not Raining
2017-129-8/11/2018,0,0,0,0,1: PDO,,0,,60,Side Swipe,Divided Road,Daylight,,Not Raining
2017-130-8/11/2018,0,0,0,0,1: PDO,,,,60,Right Angle,Not Divided,Daylight,Y,Not Raining
2017-131-8/11/2018,1,0,0,1,2: MI,,,,60,Hit Parked Vehicle,T-Junction,Night,Y,Not Raining
2017-132-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Rear End,T-Junction,Daylight,,Not Raining
2017-133-8/11/2018,1,0,1,0,3: SI,Full,1,,110,Rear End,Not Divided,Daylight,,Not Raining
2017-134-8/11/2018,2,0,0,2,2: MI,Provisional 2,2,,50,Right Angle,Cross Road,Daylight,,Not Raining
2017-135-8/11/2018,0,0,0,0,1: PDO,,,,60,Hit Fixed Object,T-Junction,Daylight,,Not Raining
2017-136-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Rear End,Not Divided,Daylight,,Not Raining
2017-137-8/11/2018,0,0,0,0,1: PDO,Full,1,,100,Side Swipe,Not Divided,Daylight,,Not Raining
2017-138-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Rear End,Not Divided,Daylight,,Not Raining
2017-139-8/11/2018,0,0,0,0,1: PDO,Full,1,,40,Right Angle,Cross Road,Daylight,,Unknown
2017-140-8/11/2018,1,0,1,0,3: SI,Unknown,1,,100,Head On,Not Divided,Daylight,,Not Raining
2017-141-8/11/2018,0,0,0,0,1: PDO,,,,60,Side Swipe,Not Divided,Daylight,,Not Raining
2017-142-8/11/2018,1,0,0,1,2: MI,Full,1,,50,Hit Parked Vehicle,Not Divided,Night,Y,Not Raining
